物品,描述,类型,前置依赖,前置依赖,前置依赖,前置依赖,前置依赖,替代,替代,替代,替代,替代,位置,位置,位置,位置,位置
卧室,普通。整洁。竟然完全看不出曾经发生过凶杀案，大概率是凶手对房间进行过复原,场景,,,,,,,,,,,,,,,
床,床单上的血迹清晰可见…应该是受伤后顺势倒在床上的吧,物品,,,,,,,,,,,卧室,,,,
大书架,喜欢书的人家在这个年代倒不多了……书架上蛮多书都沾灰了。莎士比亚，马克吐温…想不到她还这么喜欢读这些外国名著。怪不得被人说一肚子墨水,物品,,,,,,,,,,,卧室,,,,
书桌,书桌上有台灯、小书架、钢笔，没有灰尘，木质纹理绵延刻印在锃亮的书桌表面。布置风格倒与她的办公桌很像,物品,,,,,,,,,,,卧室,,,,
字条,“生存还是死亡，这是一个值得思考的问题”钢笔字迹，刻画有力……这是在暗示什么吗,物品,,,,,,,,,,,卧室,书桌,,,
小书架,摆放着泛黄书籍的小书架。与其说泛黄，不如说是很久没动了…为何放在小书架的书她却不看?,物品,,,,,,,,,,,卧室,书桌,,,
《走遍大江南北》,新江日报出版社1988年印刷。一本有关社会变迁的历史书籍，这本书在十年前可是畅销书之一。,物品,,,,,,,,,,,卧室,书桌,小书架,,
《欧亨利短篇小说集》,作者：欧亨利。译者：张铎。新江日报出版社1996年出版。欧亨利创作的故事结局往往是“意料之外，情理之中”,物品,,,,,,,,,,,卧室,书桌,小书架,,
《青年文摘》,1995年2月特别刊。这一期刊我记得，里面由着重品读了鲁迅先生的三篇文章，评鉴的是新江日报主编苏云。,物品,,,,,,,,,,,卧室,书桌,小书架,,
抽屉,被上锁了…这种锁应该家里能找到钥匙吧,物品,,,,,,,,,,,卧室,书桌,,,
打开的抽屉,抽屉开了！,物品,,,,,,锁住的抽屉,,,,,卧室,书桌,,,
卧室地面,木地板。似乎没有什么拖拽痕迹。,物品,,,,,,,,,,,卧室,,,,
一把手枪,勃朗宁手枪，造型时髦，杀伤威力和射程都很优秀…不过，里面没有弹药，似乎只是被随手扔在那里。,物品,,,,,,,,,,,卧室,卧室地面,,,
染血的地毯,毛绒地毯上斑驳着几块血迹。当一块好看的地毯染上了血迹，它还能显得好看吗？,物品,,,,,,,,,,,卧室,卧室地面,,,
破碎的杯子,地面上有一个破碎的杯子和零星的碎片,物品,,,,,,,,,,,卧室,卧室地面,,,
掉落的书籍,这些书倒是挺新的，都是最近两三个月才出版的，怎么给丢在了地上？,物品,,,,,,,,,,,卧室,卧室地面,,,
一只拖鞋,奇怪，为什么只有一只？,物品,,,,,,,,,,,卧室,卧室地面,,,
卧室墙壁,小小的房间，墙壁上却装饰得非常丰满,物品,,,,,,,,,,,卧室,,,,
电影海报,墙壁上贴着几张电影海报，她对于这种艺术作品可谓情有独钟,物品,,,,,,,,,,,卧室,卧室墙壁,,,
奖状,第十三届文学社小说创作大赛二等奖。书友书籍分享会优秀展示作品奖。,物品,,,,,,,,,,,卧室,卧室墙壁,,,
弹孔,这两个弹孔直穿到客厅，向卧室的口径在8mm左右,,,,,,,,,,,,卧室,卧室墙壁,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
客厅,客厅空间不大， 摆放的家具倒也不多，却因而显得有些阴森可怕,场景,,,,,,,,,,,,,,,
橱柜,存放了一些物品的橱柜,物品,,,,,,,,,,,客厅,,,,
沙发,堆放了一些杂物的沙发,物品,,,,,,,,,,,客厅,,,,
茶几,客厅沙发前的茶几,物品,,,,,,,,,,,客厅,,,,
电视机,正在播放节目的电视机,物品,,,,,,,,,,,客厅,,,,
客厅地面,客厅的地面,场景,,,,,,,,,,,客厅,,,,
节目单,标注出了各个时段自己所感兴趣的节目，至少每天的新闻，我知道她是必看的,物品,,,,,,,,,,,客厅,茶几,,,
,,物品,,,,,,,,,,,客厅,沙发,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
一只拖鞋,奇怪，怎么只有一只？,物品,,,,,,,,,,,客厅,客厅地面,,,
钥匙串,钥匙串，上面有四把钥匙,物品,,,,,,,,,,,客厅,客厅地面,,,
钥匙1,钥匙串上的一个钥匙,物品,,,,,,,,,,,客厅,客厅地面,钥匙串,,
钥匙2,钥匙串上的一个钥匙,物品,,,,,,,,,,,客厅,客厅地面,钥匙串,,
钥匙3,钥匙串上的一个钥匙,物品,,,,,,,,,,,客厅,客厅地面,钥匙串,,
钥匙4,钥匙串上的一个钥匙,物品,,,,,,,,,,,客厅,客厅地面,钥匙串,,
