物品,描述,类型,前置依赖,前置依赖,前置依赖,前置依赖,前置依赖,替代,替代,替代,替代,替代,位置,位置,位置,位置,位置,,,,,,,,,,,,,,,,,,,,,,
推论5,原来她对这个连环凶手早有追查，那么杀她的有很大概率就是这个从去年开始制造恐慌的神秘杀手了,推论,日记本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论2,现场发生过比较激烈的打斗,推论,破碎的杯子,散落的书籍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论3,这把手枪应该是属于被害人的，案发期间子弹很有可能没有上膛过,推论,9mm子弹,一把手枪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论4,这下算是确认了房间内的手枪不是作案工具，然而，我不认为这个弹孔是案发之前就存在的，可能凶手借助了什么方法淹没枪声,推论,王阿婆的口供,弹孔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论6,信箱里有报纸，说明报纸的确送到但被害人没取；客厅有报纸…莫非这些报纸是杀人凶手留下的？杀人凶手很可能是伪装成送报纸的邮递员潜入被害人家中。,推论,信箱的一叠报纸,散落的报纸,推论12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论7,被害人曾经在客厅看电视，然后放下眼镜再去做什么事…她看的是什么节目呢？,推论,眼镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论1,被害人是一个热爱文学、热爱创作的人,推论,小书架,大书架,奖状,电影海报,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论8,客厅掉的一只拖鞋是被害人仓皇逃进房间时掉落的。仓皇…逃进房间？那她不应该有机会求救或是留下些线索吗？,推论,另一只拖鞋,一只拖鞋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论9,割掉电话线说明凶手行凶的目的被发现了，为的是防止被害人报案，情急之下头脑还很敏锐，这个连环杀手确实棘手,推论,断掉的电话线,推论9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论10,小书架的书和大书架里的书特征类似，所以绝对是从大书架里取出的，而地上的书…如果我没猜错的话，是原本小书架里的书。这是凶手所为，还是被害人留下的线索呢？,推论,散落的书籍,小书架,大书架,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论11,注意这三本的书的共同特点。我知道…他们内容并不相同，但是他们的出版社，以及那些报纸的出版社，都指向了——新江日报。,推论,推论11,推论6,小书架,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论12,这两天下过雨。,,潮湿的雨伞,泥泞的门口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论12,这两天下过雨。,,潮湿的雨伞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推论12,这两天下过雨。,,泥泞的门口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
